Dates,Count
2/17/15,1863
2/18/15,1813
2/19/15,1720
2/20/15,1699
2/21/15,1279
2/22/15,981
2/23/15,1511
2/24/15,1613
2/25/15,1325
2/26/15,1411
2/27/15,1475
2/28/15,1018
3/1/15,929
3/2/15,1372
3/3/15,1336
3/4/15,1335
3/5/15,1308
3/6/15,1057
3/7/15,1036
3/8/15,744
3/9/15,1288
3/10/15,1133
3/11/15,1260
3/12/15,1355
3/13/15,1435
3/14/15,1192
3/15/15,890
3/16/15,1400
3/17/15,1418
3/18/15,1474
3/19/15,1426
3/20/15,1469
3/21/15,1274
3/22/15,1016
3/23/15,1146
3/24/15,1362
3/25/15,1378
3/26/15,1409
3/27/15,1390
3/28/15,1186
3/29/15,837
3/30/15,1044
3/31/15,1187
4/1/15,1246
4/2/15,1199
4/3/15,1170
4/4/15,994
4/5/15,851
4/6/15,1203
4/7/15,1378
4/8/15,1349
4/9/15,1309
4/10/15,1161
4/11/15,940
4/12/15,790
4/13/15,870
4/14/15,997
4/15/15,1076
4/16/15,1008
4/17/15,1000
4/18/15,977
4/19/15,943
4/20/15,1063
4/21/15,1241
4/22/15,1185
4/23/15,1033
4/24/15,1168
4/25/15,940
4/26/15,610
4/27/15,728
4/28/15,895
4/29/15,970
4/30/15,967
5/1/15,954
5/2/15,830
5/3/15,692
5/4/15,872
5/5/15,951
5/6/15,962
5/7/15,963
5/8/15,1073
5/9/15,817
5/10/15,606
5/11/15,923
5/12/15,1134
5/13/15,1141
5/14/15,1373
5/15/15,1366
5/16/15,1121
5/17/15,906
5/18/15,1118
5/19/15,1195
5/20/15,1187
5/21/15,1301
5/22/15,1202
5/23/15,1003
5/24/15,782
5/25/15,921
5/26/15,1110
5/27/15,1156
5/28/15,1149
5/29/15,1107
5/30/15,903
5/31/15,726
6/1/15,966
6/2/15,1155
6/3/15,1079
6/4/15,1158
6/5/15,981
6/6/15,866
6/7/15,755
6/8/15,922
6/9/15,950
6/10/15,1028
6/11/15,1274
6/12/15,1159
6/13/15,966
6/14/15,788
6/15/15,1058
6/16/15,1126
6/17/15,1148
6/18/15,1003
6/19/15,942
6/20/15,802
6/21/15,641
6/22/15,804
6/23/15,1020
6/24/15,1000
6/25/15,966
6/26/15,1117
6/27/15,1252
6/28/15,986
6/29/15,1463
6/30/15,1352
7/1/15,1212
7/2/15,1127
7/3/15,1112
7/4/15,992
7/5/15,867
7/6/15,921
7/7/15,1185
7/8/15,1004
7/9/15,958
7/10/15,974
7/11/15,942
7/12/15,633
7/13/15,887
7/14/15,969
7/15/15,1047
7/16/15,961
7/17/15,868
7/18/15,749
7/19/15,525
7/20/15,788
7/21/15,1076
7/22/15,971
7/23/15,949
7/24/15,955
7/25/15,775
7/26/15,714
7/27/15,1139
7/28/15,1258
7/29/15,1285
7/30/15,1223
7/31/15,1079
8/1/15,933
8/2/15,720
8/3/15,989
8/4/15,913
8/5/15,905
8/6/15,1184
8/7/15,1129
8/8/15,921
8/9/15,699
8/10/15,905
8/11/15,936
8/12/15,1008
8/13/15,979
8/14/15,979
8/15/15,920
8/16/15,683
8/17/15,1076
8/18/15,1184
8/19/15,1236
8/20/15,1119
8/21/15,1084
8/22/15,1022
8/23/15,865
8/24/15,991
8/25/15,1063
8/26/15,1056
8/27/15,1033
8/28/15,962
8/29/15,837
8/30/15,698
9/1/15,910
9/2/15,979
9/3/15,870
9/4/15,868
9/5/15,775
9/6/15,686
9/7/15,952
9/8/15,1211
9/9/15,1252
9/10/15,1429
9/11/15,1579
9/12/15,1228
9/13/15,694
9/14/15,948
9/15/15,930
9/16/15,1033
9/17/15,1103
9/18/15,1056
9/19/15,904
9/20/15,693
9/21/15,939
9/22/15,942
9/23/15,957
9/24/15,831
9/25/15,760
9/26/15,559
9/27/15,484
9/28/15,830
9/29/15,1026
9/30/15,1125
10/1/15,1206
10/2/15,1182
10/3/15,1042
10/4/15,776
10/5/15,1164
10/6/15,1136
10/7/15,1181
10/8/15,1232
10/9/15,1083
10/10/15,954
10/11/15,769
10/12/15,1216
10/13/15,1342
10/14/15,1245
10/15/15,1198
10/16/15,1268
10/17/15,917
10/18/15,773
10/19/15,1061
10/20/15,1045
10/21/15,1137
10/22/15,1148
10/23/15,1114
10/24/15,752
10/25/15,529
10/26/15,1050
10/27/15,788
10/28/15,994
10/29/15,1039
10/30/15,956
10/31/15,744
11/1/15,678
11/2/15,1035
11/3/15,1017
11/4/15,1114
11/5/15,1274
11/6/15,1121
11/7/15,743
11/8/15,580
11/9/15,931
11/10/15,882
11/11/15,877
11/12/15,913
11/13/15,1345
11/14/15,3000
11/15/15,2808
11/16/15,3000
11/17/15,3000
11/18/15,3000
11/19/15,3000
11/20/15,3000
11/21/15,2686
11/22/15,2023
11/23/15,2552
11/24/15,2689
11/25/15,2469
11/26/15,2143
11/27/15,2024
11/28/15,1543
11/29/15,1122
11/30/15,1749
12/1/15,1690
12/2/15,1920
12/3/15,2087
12/4/15,1918
12/5/15,1837
12/6/15,1477
12/7/15,1882
12/8/15,1880
12/9/15,1818
12/10/15,1728
12/11/15,1751
12/12/15,1491
12/13/15,1136
12/14/15,1748
12/15/15,1540
12/16/15,1801
12/17/15,1915
12/18/15,1627
12/19/15,1427
12/20/15,1009
12/21/15,1540
12/22/15,1495
12/23/15,1295
12/24/15,1170
12/25/15,900
12/26/15,940
12/27/15,912
12/28/15,989
12/29/15,1200
12/30/15,1339
12/31/15,1396
1/1/16,1346
1/2/16,1257
1/3/16,1273
1/4/16,2050
1/5/16,2189
1/6/16,1899
1/7/16,1545
1/8/16,1488
1/9/16,1302
1/10/16,1028
1/11/16,1225
1/12/16,1375
1/13/16,1587
1/14/16,1804
1/15/16,1725
1/16/16,1225
1/17/16,1013
1/18/16,1398
1/19/16,1683
1/20/16,1687
1/21/16,2000
1/22/16,1659
1/23/16,1188
1/24/16,1012
1/25/16,1422
1/26/16,1341
1/27/16,1277
1/28/16,1189
1/29/16,1292
1/30/16,1135
1/31/16,904
2/1/16,1170
2/2/16,1212
2/3/16,1170
2/4/16,1241
2/5/16,1187
2/6/16,811
2/7/16,747
2/8/16,1177
2/9/16,1259
2/10/16,1282
2/11/16,1055
2/12/16,1118
2/13/16,935
2/14/16,875
2/15/16,1055
2/16/16,1224
